image_name,x1,x2,y1,y2
1467891670691DSC_0582.png,77,554,89,421
1475151786691DSC00560.png,229,413,114,424
1480334114405_R2A3620.png,196,428,98,370
JPEG_20160712_161047_1000606860114.png,185,509,57,415
JPEG_20160403_174522_-1137349501.png,93,521,60,377
1472901299234DSC_3812.png,58,571,88,413
JPEG_20160711_122349_1000194202357.png,218,425,61,440
1477045740188DSC_8170.png,19,629,47,427
14581995558443A.png,161,481,116,383
JPEG_20161116_182832_100030341860.png,34,561,0,480
JPEG_20160530_192334_1000619661289.png,243,375,158,336
JPEG_20161125_191952_1000927237615.png,97,534,158,311
JPEG_20160628_134746_100032377535.png,85,574,138,344
1480939320625_R2A1891.png,184,411,95,428
147443927352511472729987648-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-4651472729987609-2.png,0,640,107,345
JPEG_20161121_172758_1000839911129.png,67,633,68,480
JPEG_20161129_143202_1000894632165.png,82,494,110,397
JPEG_20161125_141831_1000294007448.png,78,502,10,439
JPEG_20161117_131149_1000923828142.png,156,512,109,374
1469623981884JPEG_20160628_124209_1000257249432.png,212,433,109,401
1472628968429w_molokini_ii_blk_grl_03.png,121,500,221,408
JPEG_20160831_090533_1000336033861.png,62,606,13,459
JPEG_20160527_164502_1000310382860.png,111,490,53,359
JPEG_20160621_103352_1000549045846.png,187,590,87,384
1476528074556Untitled4.png,187,456,21,453
1480964822711IMG_3035.png,212,444,227,327
JPEG_20161123_170728_1000761896744.png,263,339,42,441
1476773279562DSC_8615.png,57,601,47,429
1469433305869DSC_0033.png,148,611,3,413
1472821248194DSC_2930.png,23,599,108,307
147444083818811472209501113-Roadster-Men-Navy-Blue-Printed-Round-Neck-T-Shirt-5991472209500910-4.png,3,640,115,350
1479750872610SpringField16-11-201610499.png,30,615,144,356
1480944525953_R2A1980.png,202,403,217,373
JPEG_20161208_144423_1000780002708.png,81,591,141,325
1467979429468DSC_0058.png,118,544,158,321
